Station,Date,Time,Replicate,Temp(deg C),Conductivity_uS,Salinity_PSU,TDS(mg/L),HDO(mg/L),HDO %,pH,Depth(m),Field_Chl_a,Lab_Chl_a,correction
FHR,6/12/2024,11:26,2,30.27,31390,19.41,20090,5.56,82.2,7.3,0.3,43.64,13.3,3.281203008
FHR,6/12/2024,11:26,3,30.26,31460,19.46,20140,5.01,74.1,7.26,0.3,46.05,14.5,3.175862069
FHR,6/12/2024,11:26,3,30.26,31460,19.46,20140,5.01,74.1,7.26,0.3,46.05,13.3,3.462406015
FHR,6/12/2024,11:27,4,30.29,31430,19.44,20110,4.71,69.7,7.23,0.24,40.82,14.5,2.815172414
FHR,6/12/2024,11:27,4,30.29,31430,19.44,20110,4.71,69.7,7.23,0.24,40.82,13.3,3.069172932
RYE,6/12/2024,11:50,1,29.42,458.6,0.22,293.5,7.68,100.7,8.38,0.02,41.85,20.2,2.071782178
RYE,6/12/2024,11:50,1,29.42,458.6,0.22,293.5,7.68,100.7,8.38,0.02,41.85,17.9,2.337988827
RYE,6/12/2024,11:51,2,29.43,446.1,0.21,285.5,7.56,99.1,8.08,0.02,32.56,20.2,1.611881188
RYE,6/12/2024,11:51,2,29.43,446.1,0.21,285.5,7.56,99.1,8.08,0.02,32.56,17.9,1.818994413
RYE,6/12/2024,11:52,3,29.4,450.3,0.21,288.2,7.6,99.6,7.98,0.02,35.23,20.2,1.744059406
RYE,6/12/2024,11:52,3,29.4,450.3,0.21,288.2,7.6,99.6,7.98,0.02,35.23,17.9,1.968156425
RYE,6/12/2024,11:52,4,29.39,448.7,0.21,287.2,7.62,99.9,7.96,0.02,31.76,20.2,1.572277228
RYE,6/12/2024,11:52,4,29.39,448.7,0.21,287.2,7.62,99.9,7.96,0.02,31.76,17.9,1.774301676
EMP,6/13/2024,10:52,1,31.78,53890,35.4,34490,6.86,113.4,7.26,0.05,20.86,10.8,1.931481481
EMP,6/13/2024,10:52,1,31.78,53890,35.4,34490,6.86,113.4,7.26,0.05,20.86,11,1.896363636
EMP,6/13/2024,10:53,2,31.92,53940,35.43,34520,7.04,116.6,7.84,0.09,23.72,10.8,2.196296296
EMP,6/13/2024,10:53,2,31.92,53940,35.43,34520,7.04,116.6,7.84,0.09,23.72,11,2.156363636
EMP,6/13/2024,10:53,3,31.76,53910,35.41,34500,7.18,118.6,7.88,0.08,25.4,10.8,2.351851852
EMP,6/13/2024,10:53,3,31.76,53910,35.41,34500,7.18,118.6,7.88,0.08,25.4,11,2.309090909
EMP,6/13/2024,10:53,4,31.69,53970,35.46,34540,7.28,120.2,7.87,0.06,27.22,10.8,2.52037037
EMP,6/13/2024,10:53,4,31.69,53970,35.46,34540,7.28,120.2,7.87,0.06,27.22,11,2.474545455
PBR,6/13/2024,11:23,1,30.69,49800,32.42,31870,6.1,97.5,7.1,0.33,16.67,2.59,6.436293436
PBR,6/13/2024,11:23,1,30.69,49800,32.42,31870,6.1,97.5,7.1,0.33,16.67,2.65,6.290566038
PBR,6/13/2024,11:24,2,30.83,49490,32.19,31670,5.29,84.6,7.49,0.3,16.22,2.59,6.262548263
PBR,6/13/2024,11:24,2,30.83,49490,32.19,31670,5.29,84.6,7.49,0.3,16.22,2.65,6.120754717
PBR,6/13/2024,11:25,3,30.84,49520,32.22,31690,4.97,79.5,7.57,0.35,15.5,2.59,5.984555985
PBR,6/13/2024,11:25,3,30.84,49520,32.22,31690,4.97,79.5,7.57,0.35,15.5,2.65,5.849056604
PBR,6/13/2024,11:25,4,30.81,49870,32.47,31920,4.87,78,7.6,0.29,15.26,2.59,5.891891892
PBR,6/13/2024,11:25,4,30.81,49870,32.47,31920,4.87,78,7.6,0.29,15.26,2.65,5.758490566
MC,6/13/2024,12:02,1,28.71,4129,2.17,2642,7.41,97,6.52,0.36,21,3.6,5.833333333
MC,6/13/2024,12:02,1,28.71,4129,2.17,2642,7.41,97,6.52,0.36,21,3.59,5.849582173
MC,6/13/2024,12:02,2,28.72,4097,2.15,2622,6.28,82.2,6.63,0.3,21.41,3.6,5.947222222
MC,6/13/2024,12:02,2,28.72,4097,2.15,2622,6.28,82.2,6.63,0.3,21.41,3.59,5.963788301
MC,6/13/2024,12:03,3,28.79,3842,2.01,2459,5.93,77.7,6.67,0.3,20.11,3.6,5.586111111
MC,6/13/2024,12:03,3,28.79,3842,2.01,2459,5.93,77.7,6.67,0.3,20.11,3.59,5.601671309
MC,6/13/2024,12:03,4,28.73,4067,2.14,2602,5.5,72,6.69,0.36,21.95,3.6,6.097222222
MC,6/13/2024,12:03,4,28.73,4067,2.14,2602,5.5,72,6.69,0.36,21.95,3.59,6.114206128
