date,time ,replicate,Temp_deg_C,SpCond_uS/cm,Salinity_PSU,TDS_mg/l,HDO_mg/l,HDO_%Sat,pH_units,Depth_m,field_chl_a,lab_chl_a,DEPTH,,
7/9/2024,14:25,1,30.56,643.2,0.31,411.6,7.08,94.7,7.49,0.6,58.27,21.63392,0.6,mc .6a,mc .6a
7/9/2024,14:25,2,30.49,640.9,0.3,410.2,6.98,93.3,7.48,0.63,49.94,21.63392,0.6,mc .6b,mc .6b
7/9/2024,14:25,3,30.43,641.3,0.3,410.4,6.94,92.6,7.48,0.65,51.09,21.63392,0.6,mc .6c,mc .6c
7/9/2024,14:25,4,30.54,641.7,0.3,410.7,6.9,92.3,7.47,0.61,48.53,21.63392,0.6,mc .6d,mc .6d
7/9/2024,14:25,5,30.5,642.4,0.31,411.1,6.89,92.1,7.47,0.63,41.03,21.63392,0.6,mc .6e,mc .6e
7/9/2024,14:25,6,30.53,645.2,0.31,412.9,6.84,91.5,7.46,0.58,39.6,21.63392,0.6,mc .6f,mc .6f
7/9/2024,14:25,1,30.56,643.2,0.31,411.6,7.08,94.7,7.49,0.6,58.27,20.11584,0.6,mc .6a,mc .6a
7/9/2024,14:25,2,30.49,640.9,0.3,410.2,6.98,93.3,7.48,0.63,49.94,20.11584,0.6,mc .6b,mc .6b
7/9/2024,14:25,3,30.43,641.3,0.3,410.4,6.94,92.6,7.48,0.65,51.09,20.11584,0.6,mc .6c,mc .6c
7/9/2024,14:25,4,30.54,641.7,0.3,410.7,6.9,92.3,7.47,0.61,48.53,20.11584,0.6,mc .6d,mc .6d
7/9/2024,14:25,5,30.5,642.4,0.31,411.1,6.89,92.1,7.47,0.63,41.03,20.11584,0.6,mc .6e,mc .6e
7/9/2024,14:25,6,30.53,645.2,0.31,412.9,6.84,91.5,7.46,0.58,39.6,20.11584,0.6,mc .6f,mc .6f
7/9/2024,14:26,1,30.12,637.3,0.3,407.8,6.6,87.7,7.43,0.77,24.41,22.20992,0.75,mc .75a,mc .75
7/9/2024,14:26,2,29.86,639.7,0.3,409.4,6.57,86.9,7.42,0.78,26.89,22.20992,0.75,mc .75b,mc .75
7/9/2024,14:26,3,29.71,634.7,0.3,406.2,6.48,85.5,7.41,0.75,23.57,22.20992,0.75,mc .75c,mc .75
7/9/2024,14:26,4,29.71,637.8,0.3,408.2,6.42,84.7,7.41,0.78,27.09,22.20992,0.75,mc .75d,mc .75
7/9/2024,14:27,5,29.67,634.2,0.3,405.9,6.38,84.1,7.41,0.78,26.12,22.20992,0.75,mc .75e,mc .75
7/9/2024,14:27,6,29.61,635.8,0.3,406.9,6.3,82.9,7.4,0.75,20.87,22.20992,0.75,mc .75f,mc .75
7/9/2024,14:26,1,30.12,637.3,0.3,407.8,6.6,87.7,7.43,0.77,24.41,21.63392,0.75,mc .75a,mc .75
7/9/2024,14:26,2,29.86,639.7,0.3,409.4,6.57,86.9,7.42,0.78,26.89,21.63392,0.75,mc .75b,mc .75
7/9/2024,14:26,3,29.71,634.7,0.3,406.2,6.48,85.5,7.41,0.75,23.57,21.63392,0.75,mc .75c,mc .75
7/9/2024,14:26,4,29.71,637.8,0.3,408.2,6.42,84.7,7.41,0.78,27.09,21.63392,0.75,mc .75d,mc .75
7/9/2024,14:27,5,29.67,634.2,0.3,405.9,6.38,84.1,7.41,0.78,26.12,21.63392,0.75,mc .75e,mc .75
7/9/2024,14:27,6,29.61,635.8,0.3,406.9,6.3,82.9,7.4,0.75,20.87,21.63392,0.75,mc .75f,mc .75
7/9/2024,14:26,1,30.12,637.3,0.3,407.8,6.6,87.7,7.43,0.77,24.41,20.11584,0.75,mc .75a,mc .75
7/9/2024,14:26,2,29.86,639.7,0.3,409.4,6.57,86.9,7.42,0.78,26.89,20.11584,0.75,mc .75b,mc .75
7/9/2024,14:26,3,29.71,634.7,0.3,406.2,6.48,85.5,7.41,0.75,23.57,20.11584,0.75,mc .75c,mc .75
7/9/2024,14:26,4,29.71,637.8,0.3,408.2,6.42,84.7,7.41,0.78,27.09,20.11584,0.75,mc .75d,mc .75
7/9/2024,14:27,5,29.67,634.2,0.3,405.9,6.38,84.1,7.41,0.78,26.12,20.11584,0.75,mc .75e,mc .75
7/9/2024,14:27,6,29.61,635.8,0.3,406.9,6.3,82.9,7.4,0.75,20.87,20.11584,0.75,mc .75f,mc .75
