date,time ,replicate,Temp_deg_C,SpCond_uS/cm,Salinity_PSU,TDS_mg/l,HDO_mg/l,HDO_%Sat,pH_units,Depth_m,field_chl_a,lab_chl_a,DEPTH,,
7/9/2024,11:08,3,32.3,54690,35.97,35000,4.46,74.6,7.93,0.16,7.74,6.59968,0.15,Kfr .15 c,Kfr .15
7/9/2024,11:08,4,32.31,54830,36.08,35090,4.37,73.1,7.93,0.15,9.05,6.59968,0.15,Kfr .15 d,Kfr .15
7/9/2024,11:08,5,32.31,54580,35.89,34930,4.35,72.8,7.93,0.14,9.29,6.59968,0.15,Kfr .15 e,Kfr .15
7/9/2024,11:09,6,32.32,54710,35.99,35010,4.31,72.1,7.93,0.14,7.97,6.59968,0.15,Kfr .15 f,Kfr .15
7/9/2024,11:11,1,32.31,54720,36,35020,4.7,78.6,7.93,0.25,9.94,7.9456,0.3,Kfr .3 a,Kfr .3 
7/9/2024,11:11,2,32.32,54750,36.02,35040,4.62,77.4,7.93,0.27,9.93,7.9456,0.3,Kfr .3 b,Kfr .3 
7/9/2024,11:11,3,32.32,54770,36.03,35050,4.47,74.9,7.93,0.26,11.09,7.9456,0.3,Kfr .3 c,Kfr .3 
7/9/2024,11:12,4,32.31,54680,35.97,35000,4.41,73.7,7.94,0.25,11.17,7.9456,0.3,Kfr .3 d,Kfr .3 
7/9/2024,11:13,5,32.32,54730,36,35030,4.35,72.7,7.93,0.27,10.5,7.9456,0.3,Kfr .3 e,Kfr .3 
7/9/2024,11:13,6,32.32,54660,35.95,34980,4.34,72.5,7.93,0.27,11.47,7.9456,0.3,Kfr .3 f,Kfr .3 
7/9/2024,11:11,1,32.31,54720,36,35020,4.7,78.6,7.93,0.25,9.94,6.77632,0.3,Kfr .3 a,Kfr .3 
7/9/2024,11:11,2,32.32,54750,36.02,35040,4.62,77.4,7.93,0.27,9.93,6.77632,0.3,Kfr .3 b,Kfr .3 
7/9/2024,11:11,3,32.32,54770,36.03,35050,4.47,74.9,7.93,0.26,11.09,6.77632,0.3,Kfr .3 c,Kfr .3 
7/9/2024,11:12,4,32.31,54680,35.97,35000,4.41,73.7,7.94,0.25,11.17,6.77632,0.3,Kfr .3 d,Kfr .3 
7/9/2024,11:13,5,32.32,54730,36,35030,4.35,72.7,7.93,0.27,10.5,6.77632,0.3,Kfr .3 e,Kfr .3 
7/9/2024,11:13,6,32.32,54660,35.95,34980,4.34,72.5,7.93,0.27,11.47,6.77632,0.3,Kfr .3 f,Kfr .3 
7/9/2024,11:11,1,32.31,54720,36,35020,4.7,78.6,7.93,0.25,9.94,6.59968,0.3,Kfr .3 a,Kfr .3 
7/9/2024,11:11,2,32.32,54750,36.02,35040,4.62,77.4,7.93,0.27,9.93,6.59968,0.3,Kfr .3 b,Kfr .3 
7/9/2024,11:11,3,32.32,54770,36.03,35050,4.47,74.9,7.93,0.26,11.09,6.59968,0.3,Kfr .3 c,Kfr .3 
7/9/2024,11:12,4,32.31,54680,35.97,35000,4.41,73.7,7.94,0.25,11.17,6.59968,0.3,Kfr .3 d,Kfr .3 
7/9/2024,11:13,5,32.32,54730,36,35030,4.35,72.7,7.93,0.27,10.5,6.59968,0.3,Kfr .3 e,Kfr .3 
7/9/2024,11:13,6,32.32,54660,35.95,34980,4.34,72.5,7.93,0.27,11.47,6.59968,0.3,Kfr .3 f,Kfr .3 
7/9/2024,11:13,1,32.32,54590,35.9,34940,4.33,72.4,7.93,0.5,11.27,7.9456,0.45,Kfr .45 a,Kfr .45
7/9/2024,11:13,2,32.32,54810,36.06,35080,4.32,72.3,7.93,0.45,10.81,7.9456,0.45,Kfr .45 b,Kfr .45
7/9/2024,11:14,3,32.32,54650,35.94,34970,4.32,72.2,7.93,0.46,10.95,7.9456,0.45,Kfr .45 c,Kfr .45
7/9/2024,11:14,4,32.32,54660,35.95,34980,4.32,72.2,7.93,0.44,12.49,7.9456,0.45,Kfr .45 d,Kfr .45
7/9/2024,11:14,5,32.32,54660,35.95,34980,4.31,72.1,7.93,0.51,11.76,7.9456,0.45,Kfr .45 e,Kfr .45
7/9/2024,11:14,6,32.32,54790,36.05,35060,4.3,72,7.93,0.48,12.07,7.9456,0.45,Kfr .45 f,Kfr .45
7/9/2024,11:13,1,32.32,54590,35.9,34940,4.33,72.4,7.93,0.5,11.27,6.77632,0.45,Kfr .45 a,Kfr .45
7/9/2024,11:13,2,32.32,54810,36.06,35080,4.32,72.3,7.93,0.45,10.81,6.77632,0.45,Kfr .45 b,Kfr .45
7/9/2024,11:14,3,32.32,54650,35.94,34970,4.32,72.2,7.93,0.46,10.95,6.77632,0.45,Kfr .45 c,Kfr .45
7/9/2024,11:14,4,32.32,54660,35.95,34980,4.32,72.2,7.93,0.44,12.49,6.77632,0.45,Kfr .45 d,Kfr .45
7/9/2024,11:14,5,32.32,54660,35.95,34980,4.31,72.1,7.93,0.51,11.76,6.77632,0.45,Kfr .45 e,Kfr .45
7/9/2024,11:14,6,32.32,54790,36.05,35060,4.3,72,7.93,0.48,12.07,6.77632,0.45,Kfr .45 f,Kfr .45
7/9/2024,11:13,1,32.32,54590,35.9,34940,4.33,72.4,7.93,0.5,11.27,6.59968,0.45,Kfr .45 a,Kfr .45
7/9/2024,11:13,2,32.32,54810,36.06,35080,4.32,72.3,7.93,0.45,10.81,6.59968,0.45,Kfr .45 b,Kfr .45
7/9/2024,11:14,3,32.32,54650,35.94,34970,4.32,72.2,7.93,0.46,10.95,6.59968,0.45,Kfr .45 c,Kfr .45
7/9/2024,11:14,4,32.32,54660,35.95,34980,4.32,72.2,7.93,0.44,12.49,6.59968,0.45,Kfr .45 d,Kfr .45
7/9/2024,11:14,5,32.32,54660,35.95,34980,4.31,72.1,7.93,0.51,11.76,6.59968,0.45,Kfr .45 e,Kfr .45
7/9/2024,11:14,6,32.32,54790,36.05,35060,4.3,72,7.93,0.48,12.07,6.59968,0.45,Kfr .45 f,Kfr .45
7/9/2024,11:15,1,32.32,54690,35.97,35000,4.29,71.8,7.92,0.58,10.46,7.9456,0.6,Kfr .6 a,Kfr .6 
7/9/2024,11:15,2,32.32,54830,36.07,35090,4.29,71.8,7.92,0.57,10.72,7.9456,0.6,Kfr .6 b,Kfr .6 
7/9/2024,11:16,3,32.32,54690,35.97,35000,4.29,71.7,7.92,0.66,8.23,7.9456,0.6,Kfr .6 c,Kfr .6 
7/9/2024,11:16,4,32.32,54620,35.92,34950,4.27,71.4,7.93,0.59,11.05,7.9456,0.6,Kfr .6 d,Kfr .6 
7/9/2024,11:16,5,32.32,54740,36.01,35030,4.27,71.4,7.93,0.56,10.63,7.9456,0.6,Kfr .6 e,Kfr .6 
7/9/2024,11:17,6,32.32,54680,35.96,34990,4.27,71.4,7.93,0.63,14.54,7.9456,0.6,Kfr .6 f,Kfr .6 
7/9/2024,11:15,1,32.32,54690,35.97,35000,4.29,71.8,7.92,0.58,10.46,6.77632,0.6,Kfr .6 a,Kfr .6 
7/9/2024,11:15,2,32.32,54830,36.07,35090,4.29,71.8,7.92,0.57,10.72,6.77632,0.6,Kfr .6 b,Kfr .6 
7/9/2024,11:16,3,32.32,54690,35.97,35000,4.29,71.7,7.92,0.66,8.23,6.77632,0.6,Kfr .6 c,Kfr .6 
7/9/2024,11:16,4,32.32,54620,35.92,34950,4.27,71.4,7.93,0.59,11.05,6.77632,0.6,Kfr .6 d,Kfr .6 
7/9/2024,11:16,5,32.32,54740,36.01,35030,4.27,71.4,7.93,0.56,10.63,6.77632,0.6,Kfr .6 e,Kfr .6 
7/9/2024,11:17,6,32.32,54680,35.96,34990,4.27,71.4,7.93,0.63,14.54,6.77632,0.6,Kfr .6 f,Kfr .6 
7/9/2024,11:15,1,32.32,54690,35.97,35000,4.29,71.8,7.92,0.58,10.46,6.59968,0.6,Kfr .6 a,Kfr .6 
7/9/2024,11:15,2,32.32,54830,36.07,35090,4.29,71.8,7.92,0.57,10.72,6.59968,0.6,Kfr .6 b,Kfr .6 
7/9/2024,11:16,3,32.32,54690,35.97,35000,4.29,71.7,7.92,0.66,8.23,6.59968,0.6,Kfr .6 c,Kfr .6 
7/9/2024,11:16,4,32.32,54620,35.92,34950,4.27,71.4,7.93,0.59,11.05,6.59968,0.6,Kfr .6 d,Kfr .6 
7/9/2024,11:16,5,32.32,54740,36.01,35030,4.27,71.4,7.93,0.56,10.63,6.59968,0.6,Kfr .6 e,Kfr .6 
7/9/2024,11:17,6,32.32,54680,35.96,34990,4.27,71.4,7.93,0.63,14.54,6.59968,0.6,Kfr .6 f,Kfr .6 
7/9/2024,11:17,1,32.32,54750,36.02,35040,4.27,71.5,7.93,0.74,11.13,7.9456,0.75,Kfr .75 a,Kfr .75
7/9/2024,11:17,2,32.32,54590,35.9,34940,4.28,71.6,7.93,0.73,10.31,7.9456,0.75,Kfr .75 b,Kfr .75
7/9/2024,11:17,3,32.32,54630,35.93,34960,4.28,71.6,7.92,0.73,10.48,7.9456,0.75,Kfr .75 c,Kfr .75
7/9/2024,11:17,4,32.32,54570,35.88,34920,4.29,71.7,7.92,0.73,11.17,7.9456,0.75,Kfr .75 d,Kfr .75
7/9/2024,11:18,5,32.32,54580,35.89,34930,4.3,71.9,7.92,0.74,11.87,7.9456,0.75,Kfr .75 e,Kfr .75
7/9/2024,11:18,6,32.32,54770,36.03,35050,4.29,71.8,7.92,0.76,11.86,7.9456,0.75,Kfr .75 f,Kfr .75
7/9/2024,11:17,1,32.32,54750,36.02,35040,4.27,71.5,7.93,0.74,11.13,6.77632,0.75,Kfr .75 a,Kfr .75
7/9/2024,11:17,2,32.32,54590,35.9,34940,4.28,71.6,7.93,0.73,10.31,6.77632,0.75,Kfr .75 b,Kfr .75
7/9/2024,11:17,3,32.32,54630,35.93,34960,4.28,71.6,7.92,0.73,10.48,6.77632,0.75,Kfr .75 c,Kfr .75
7/9/2024,11:17,4,32.32,54570,35.88,34920,4.29,71.7,7.92,0.73,11.17,6.77632,0.75,Kfr .75 d,Kfr .75
7/9/2024,11:18,5,32.32,54580,35.89,34930,4.3,71.9,7.92,0.74,11.87,6.77632,0.75,Kfr .75 e,Kfr .75
7/9/2024,11:18,6,32.32,54770,36.03,35050,4.29,71.8,7.92,0.76,11.86,6.77632,0.75,Kfr .75 f,Kfr .75
7/9/2024,11:17,1,32.32,54750,36.02,35040,4.27,71.5,7.93,0.74,11.13,6.59968,0.75,Kfr .75 a,Kfr .75
7/9/2024,11:17,2,32.32,54590,35.9,34940,4.28,71.6,7.93,0.73,10.31,6.59968,0.75,Kfr .75 b,Kfr .75
7/9/2024,11:17,3,32.32,54630,35.93,34960,4.28,71.6,7.92,0.73,10.48,6.59968,0.75,Kfr .75 c,Kfr .75
7/9/2024,11:17,4,32.32,54570,35.88,34920,4.29,71.7,7.92,0.73,11.17,6.59968,0.75,Kfr .75 d,Kfr .75
7/9/2024,11:18,5,32.32,54580,35.89,34930,4.3,71.9,7.92,0.74,11.87,6.59968,0.75,Kfr .75 e,Kfr .75
7/9/2024,11:18,6,32.32,54770,36.03,35050,4.29,71.8,7.92,0.76,11.86,6.59968,0.75,Kfr .75 f,Kfr .75
